City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,nanao,37.05,136.9667,86.2,79,89,3.51,JP,1722996942
116,flying fish cove,-10.4217,105.6791,78.48,78,100,13.8,CX,1722996943
117,upington,-28.4478,21.2561,41.38,38,0,4.61,ZA,1722996944
118,college,64.8569,-147.8028,73.38,65,75,4.61,US,1722996947
119,fort st. john,56.2499,-120.8529,69.69,49,40,4.61,CA,1722996948
120,muroto-misakicho,33.2833,134.15,84.16,79,67,8.23,JP,1722996949
121,san patricio,28.017,-97.5169,87.69,65,0,11.45,US,1722996950
122,luang namtha,20.9497,101.4011,77.02,94,100,2.3,LA,1722996951
123,reggane,26.7158,0.1714,96.17,15,2,11.99,DZ,1722996952
124,sumbawa besar,-8.5,117.4333,90.01,41,4,8.72,ID,1722996953
125,nemuro,43.3236,145.575,65.84,99,100,8.1,JP,1722996954
126,yagoua,10.3411,15.2329,74.03,90,100,5.48,CM,1722996956
127,aykhal,66.0,111.5,56.71,51,19,4.18,RU,1722996957
128,iqaluit,63.7506,-68.5145,46.13,75,75,3.44,CA,1722996958
129,susuman,62.7833,148.1667,48.7,74,100,4.41,RU,1722996959
130,alice springs,-23.7,133.8833,67.55,37,0,8.05,AU,1722996960
131,sitka,57.0531,-135.33,62.49,77,0,10.36,US,1722996962
132,hamilton,39.1834,-84.5333,84.58,72,0,4.61,US,1722996927
133,inongo,-1.95,18.2667,72.09,58,84,7.9,CD,1722996964
134,gafanha da nazare,40.6362,-8.7134,67.01,88,26,10.42,PT,1722996966
135,neon karlovasion,37.7903,26.7044,80.91,66,0,8.3,GR,1722996967
136,ust-nera,64.5667,143.2,51.31,85,100,4.52,RU,1722996969
137,invercargill,-46.4,168.35,55.02,69,100,11.01,NZ,1722996970
138,lodhikheda,21.5833,78.8333,77.18,90,100,5.93,IN,1722996971
139,papar,5.7333,115.9333,87.8,68,87,3.06,MY,1722996972
140,vadso,70.0744,29.7487,54.48,76,14,2.3,NO,1722996973
141,peace river,56.2501,-117.286,70.11,73,100,3.44,CA,1722996845
142,farasan,16.7022,42.1183,81.72,79,100,16.89,SA,1722996975
143,agboville,5.928,-4.2132,69.96,97,100,2.06,CI,1722996977
144,san antonio de pale,-1.4014,5.6325,72.23,80,86,12.75,GQ,1722996978
145,punta arenas,-53.15,-70.9167,28.51,93,75,5.75,CL,1722996712
146,urangan,-25.3,152.9,66.61,76,100,11.39,AU,1722996980
147,zeya,53.75,127.2667,77.13,51,95,2.53,RU,1722996981
148,puerto baquerizo moreno,-0.9,-89.6,67.44,84,81,14.07,EC,1722996982
149,fort bragg,35.139,-79.006,75.34,96,100,8.05,US,1722996983
150,novopavlovsk,43.9622,43.6342,69.21,87,83,5.14,RU,1722996986
151,san jose del guaviare,2.5729,-72.6459,74.35,90,97,0.58,CO,1722996779
152,fortaleza,-3.7227,-38.5247,80.22,78,0,10.36,BR,1722996862
153,gadzhiyevo,69.2551,33.3362,53.28,58,54,8.7,RU,1722996989
154,fauske,67.2588,15.3918,66.78,61,0,9.13,NO,1722996990
155,shadrinsk,56.0852,63.6335,60.85,92,6,5.35,RU,1722996991
156,grand-lahou,5.1367,-5.0242,73.98,87,100,10.58,CI,1722996992
157,atafu village,-8.5421,-172.5159,83.05,76,100,13.78,TK,1722996993
158,kruisfontein,-34.0033,24.7314,48.06,81,0,6.22,ZA,1722996994
159,vidyayevo,69.3191,32.8049,53.71,56,67,6.93,RU,1722996996
160,chiroqchi,39.0336,66.5722,82.78,21,0,8.93,UZ,1722996997
161,isangel,-19.55,169.2667,73.69,56,70,16.58,VU,1722996998
162,yuzhno-kurilsk,44.0306,145.8556,66.47,98,100,5.1,RU,1722996999
163,blackmans bay,-43.0167,147.3167,57.33,61,100,5.39,AU,1722997000
164,gerash,27.6652,54.1371,84.34,68,14,3.62,IR,1722997001
165,ubajara,-3.8544,-40.9211,67.3,55,50,5.01,BR,1722997002
166,veternik,45.2533,19.7594,59.97,58,0,3.38,RS,1722997003
167,tymovskoye,50.8456,142.655,84.79,56,21,2.24,RU,1722997004
168,niafunke,15.9322,-3.9906,90.36,50,67,8.19,ML,1722997005
169,nyurba,63.2842,118.3319,61.59,50,12,7.4,RU,1722997007
170,big rapids,43.6981,-85.4837,64.47,77,0,0.0,US,1722996753
171,nova vicosa,-17.8919,-39.3719,71.74,76,8,6.2,BR,1722997009
172,merizo village,13.2658,144.6691,89.33,84,92,4.32,GU,1722997010
173,taoudenni,22.6783,-3.9836,98.47,20,7,10.94,ML,1722997011
174,khorixas,-20.3667,14.9667,57.79,38,5,0.98,NA,1722997012
175,tura,25.5198,90.2201,76.26,94,100,4.27,IN,1722997013
176,iquitos,-3.7481,-73.2472,77.04,88,0,1.14,PE,1722997014
177,luderitz,-26.6481,15.1594,53.33,80,99,3.56,NA,1722997015
178,muynoq,43.7683,59.0214,85.98,22,43,9.73,UZ,1722997017
179,labrador city,52.9463,-66.9114,48.18,80,100,11.01,CA,1722996912
180,sur,22.5667,59.5289,83.01,72,88,8.79,OM,1722996937
181,san juan,-31.5375,-68.5364,49.1,62,100,6.62,AR,1722997021
182,dryden,49.7833,-92.7503,66.49,55,100,5.75,CA,1722997022
183,lebu,-37.6167,-73.65,42.73,84,2,5.7,CL,1722997023
184,aral,40.5156,81.2636,71.29,54,100,4.59,CN,1722997024
185,mirzapur,25.15,82.5833,83.14,76,93,4.03,IN,1722997025
186,mahdia,35.5047,11.0622,76.95,81,0,4.83,TN,1722997027
187,suva,-18.1416,178.4415,74.68,64,75,13.8,FJ,1722997028
188,kununurra,-15.7667,128.7333,87.78,37,15,10.36,AU,1722997029
189,tadine,-21.55,167.8833,71.15,59,60,13.98,NC,1722997030
190,prince rupert,54.3161,-130.3201,55.49,99,100,10.36,CA,1722997031
191,palmer,42.1584,-72.3287,67.6,80,100,4.61,US,1722997032
192,road town,18.4167,-64.6167,84.24,74,40,8.05,VG,1722997033
193,hermanus,-34.4187,19.2345,45.81,83,17,4.29,ZA,1722997034
194,trinidad,-14.8333,-64.9,77.43,71,24,3.91,BO,1722997035
195,edd,13.9297,41.6925,85.17,74,100,4.63,ER,1722997036
196,beira,-19.8436,34.8389,73.49,100,40,8.05,MZ,1722997038
197,keflavik,64.0049,-22.5624,50.43,100,0,8.05,IS,1722997039
198,crane,31.3974,-102.3501,91.81,23,0,8.43,US,1722997040
199,hillsboro,45.5229,-122.9898,78.42,54,0,9.22,US,1722997041
200,basoko,1.2391,23.616,74.21,74,100,0.89,CD,1722997042
201,mamadysh,55.7152,51.408,61.88,77,97,1.19,RU,1722997043
202,afaahiti,-17.75,-149.2833,80.47,84,7,19.62,PF,1722997044
203,coahuayana de hidalgo,18.7,-103.6583,80.42,83,100,2.84,MX,1722997045
204,kudahuvadhoo,2.6708,72.8944,81.93,75,100,4.72,MV,1722997046
205,mahriz,31.5917,54.4318,84.7,16,11,1.36,IR,1722997048
206,westport,41.1415,-73.3579,72.55,88,100,14.97,US,1722997049
207,miles city,46.4083,-105.8406,81.57,36,75,13.8,US,1722997050
208,caleta de carquin,-11.0925,-77.6267,61.99,87,18,13.0,PE,1722997034
209,bredasdorp,-34.5322,20.0403,47.41,91,1,2.95,ZA,1722997053
210,kill devil hills,36.0307,-75.676,78.98,95,0,6.91,US,1722997054
211,pointe aux piments,-20.0628,57.5131,65.52,79,1,10.13,MU,1722997055
212,rovaniemi,66.5,25.7167,54.81,66,0,4.61,FI,1722997056
213,itoman,26.1247,127.6694,91.78,74,75,6.91,JP,1722997058
214,meadow lakes,61.6247,-149.6011,64.42,82,20,5.75,US,1722997059
215,udachny,66.4167,112.4,56.39,52,35,1.92,RU,1722997060
216,barentu,15.1139,37.5928,68.86,89,100,3.94,ER,1722997061
217,kittila,67.6647,24.8936,44.74,87,0,2.3,FI,1722997062
218,porbandar,21.6422,69.6093,82.06,82,100,18.57,IN,1722997063
219,nar'yan-mar,67.6713,53.087,46.83,72,8,6.46,RU,1722997064
220,khairpur nathan shah,27.0936,67.7337,89.24,71,100,1.9,PK,1722997065
221,rio grande,-32.035,-52.0986,60.94,99,100,7.94,BR,1722997008
222,talnakh,69.4865,88.3972,59.0,50,2,16.87,RU,1722997068
223,glenelg north,-34.9683,138.5154,64.44,56,40,16.11,AU,1722997069
224,gore,-46.1028,168.9436,52.34,70,100,2.1,NZ,1722997070
225,dudinka,69.4058,86.1778,53.4,55,0,24.36,RU,1722997071
226,lompoc,34.6391,-120.4579,85.01,88,0,11.5,US,1722997072
227,quellon,-43.1167,-73.6167,43.16,84,4,4.61,CL,1722997073
228,badger,64.8,-147.5333,73.31,61,75,4.61,US,1722997074
229,skeldon,5.8833,-57.1333,77.7,86,1,4.83,GY,1722997075
230,turpan,42.9333,89.1667,94.48,21,96,6.33,CN,1722997076
231,labuan,5.2767,115.2417,86.36,79,20,2.3,MY,1722997078
232,minas de marcona,-15.2119,-75.1103,50.13,92,77,12.59,PE,1722997079
233,brady,31.1352,-99.3351,91.85,31,0,4.61,US,1722997081
234,st. paul,44.9444,-93.0933,69.3,71,0,0.0,US,1722997082
235,georgetown,5.4112,100.3354,85.93,74,40,6.91,MY,1722996910
236,salekhard,66.53,66.6019,50.38,60,1,4.47,RU,1722997084
237,hovd,48.0056,91.6419,69.04,30,99,1.77,MN,1722997085
238,camayenne,9.535,-13.6878,77.02,87,100,4.32,GN,1722997087
239,sao miguel do araguaia,-13.275,-50.1628,75.72,35,0,2.93,BR,1722997088
